sep=\t
Module Resource Usage Distribution Estimates
Generated at: Jun 16, 2026 17:55:25

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	          FFs	      SRLs	       ADDs	         LUTs	    COMB4s	      RAMs	 DSP/MULTs
top:top                                                     	  22391(497)	     0(0)	  1896(25)	  22629(211)	     0(0)	   103(0)	     0(0)	
 +u_system_startup_ctrl:system_startup_ctrl                 	      31(31)	     0(0)	    27(27)	      16(16)	     0(0)	     0(0)	     0(0)	
 +u_result_cdc:cdc_bus_handshake(WIDTH=112)                 	    157(157)	     0(0)	      0(0)	        2(2)	     0(0)	     0(0)	     0(0)	
 +u_shape_recognition_core:shape_recognition_core(SHAPE_WIDTH_RANGE_MAX=8'b01001011)	14650(14618)	     0(0)	   247(42)	 12452(1718)	     0(0)	     0(0)	     0(0)	
  +u_shape_scanner:shape_scanner                            	        0(0)	     0(0)	    80(80)	10681(10681)	     0(0)	     0(0)	     0(0)	
  +u_shape_classifier:shape_classifier(SHAPE_WIDTH_RANGE_MAX=8'b01001011)	        0(0)	     0(0)	  100(100)	      16(16)	     0(0)	     0(0)	     0(0)	
  +u_shape_page_ctrl:shape_page_ctrl                        	      32(32)	     0(0)	    25(25)	      37(37)	     0(0)	     0(0)	     0(0)	
 +u_color_detector:color_detector(VACT=12'b010000111000)    	    128(128)	     0(0)	  260(260)	    601(601)	     0(0)	     0(0)	     0(0)	
 +u_fast_color_detect_timer:color_detect_timer(MAX_TIME_US=32'b011110100001001000000)	      65(65)	     0(0)	    43(43)	    496(496)	     0(0)	     0(0)	     0(0)	
 +u_shape_detect_timer:color_detect_timer(MAX_TIME_US=32'b011110100001001000000)	      65(65)	     0(0)	    43(43)	    206(206)	     0(0)	     0(0)	     0(0)	
 +soft_mipi_rx_top_inst:soft_mipi_rx_top                    	   1745(134)	     0(0)	   294(12)	   2973(110)	     0(0)	    38(0)	     0(0)	
  +inst_rx_byteclk_rst:reset(OUT_RST_ACTIVE="LOW",CYCLE=3)  	        3(3)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
  +inst_pixel_clk_rst:reset(OUT_RST_ACTIVE="LOW",CYCLE=3)   	        3(3)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
  +inst_efx_csi2_rx:csi_rx_controller                       	     1246(0)	     0(0)	    211(0)	     2426(0)	     0(0)	    36(0)	     0(0)	
   +u_efx_csi2_rx:efx_csi2_rx_3eea493c411e46ef9fe73ece6fe11651(tD_TERM_EN_NS=25,HS_BYTECLK_MHZ=70,PIXEL_FIFO_DEPTH=4096,ENABLE_USER_DESKEWCAL=1'b0,ENABLE_VCX=1'b0,PACK_TYPE=15)	     1246(0)	     0(0)	    211(0)	     2426(0)	     0(0)	    36(0)	     0(0)	
    +dphy_rx_inst:efx_dphy_rx_3eea493c411e46ef9fe73ece6fe11651(tD_TERM_EN_NS=25,HS_BYTECLK_MHZ=70,ENABLE_USER_DESKEWCAL=1'b0)	      459(0)	     0(0)	     48(0)	      778(4)	     0(0)	     0(0)	     0(0)	
     +genblk3[0].rx_dlane_fsm_inst:dphy_rx_dlane_fsm_3eea493c411e46ef9fe73ece6fe11651(tD_TERM_EN_NS=25,HS_BYTECLK_MHZ=70)	      33(33)	     0(0)	    12(12)	      92(92)	     0(0)	     0(0)	     0(0)	
     +genblk3[0].rx_dword_align_inst:dphy_rx_dword_align_3eea493c411e46ef9fe73ece6fe11651	      81(81)	     0(0)	      0(0)	    106(106)	     0(0)	     0(0)	     0(0)	
